fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long,life_expectancy,mortality_risk,all_poverty,median_hh_income,sq_miles,pct_impoverished,pop_density
18085,Kosciusko County,Indiana,IN,39264,39542,38.0,78806,50.176382508946006,41.244071507325465,-85.86071564344066,78.52498866,51.77859978,7985.0,56010.0,531.38,0.10132477222546507,148.3044149196432
18087,LaGrange County,Indiana,IN,19752,19190,31.4,38942,49.27841405166657,41.64262145134996,-85.42649136538262,79.74400966,48.55472547,3851.0,60402.0,379.62,0.09889065790149452,102.58152889731836
18091,LaPorte County,Indiana,IN,57068,53484,40.4,110552,48.37904334611766,41.5459875384831,-86.73996089293483,76.93231490000001,55.41042882,16218.0,52763.0,598.3,0.1467001953831681,184.77686779207755
18121,Parke County,Indiana,IN,8211,8785,41.8,16996,51.68863261943986,39.773634640698596,-87.2063791149648,78.02402538,52.34065025,2497.0,47599.0,444.66,0.1469169216286185,38.22246210587865
18127,Porter County,Indiana,IN,83212,84829,39.5,168041,50.48113258073923,41.46054623322723,-87.06725879780336,78.72011964,53.18149483,12749.0,67302.0,418.15,0.07586838926214436,401.86775080712664
18129,Posey County,Indiana,IN,12787,12802,42.3,25589,50.02930946891242,38.02181793172545,-87.86845961108344,78.9251881,51.53582303,2192.0,61619.0,409.57,0.08566180780804251,62.477720536172086
18149,Starke County,Indiana,IN,11302,11639,41.6,22941,50.73449282943202,41.280937413569475,-86.6476276335961,74.66296194,60.89024895,3694.0,46602.0,309.13,0.16102175144937012,74.21149678128943
18155,Switzerland County,Indiana,IN,5504,5124,40.1,10628,48.21226947685359,38.826197480423325,-85.03700185185556,76.50264517,58.00632287,1780.0,45337.0,220.63,0.16748212269476853,48.17114626297421
18157,Tippecanoe County,Indiana,IN,96866,92428,28.0,189294,48.82774942681754,40.38861981090344,-86.89405932795191,79.13734964,52.01345634,30478.0,51385.0,499.81,0.1610088011241772,378.731918128889
18163,Vanderburgh County,Indiana,IN,87676,93637,38.1,181313,51.64384241615328,38.02496059839478,-87.58581620626455,77.1802845,54.78507435,30462.0,46750.0,233.48,0.16800780969924936,776.5675860887443
18165,Vermillion County,Indiana,IN,7809,7751,43.1,15560,49.813624678663246,39.853826991064,-87.46398211720656,75.8296942,60.78001301,2039.0,51425.0,256.88,0.13104113110539845,60.57303020865774
18167,Vigo County,Indiana,IN,54705,52988,36.2,107693,49.202826553257864,39.430635579112206,-87.3899739641556,76.44592779,57.67348440000001,17567.0,43560.0,403.31,0.16312109422153714,267.02288562148226
18169,Wabash County,Indiana,IN,15365,16266,42.2,31631,51.42423571812462,40.845643697598966,-85.79399878786931,77.87405716,52.50054923,3428.0,51561.0,412.43,0.10837469570990484,76.69422689911015
18173,Warrick County,Indiana,IN,30409,31519,40.9,61928,50.89620204107996,38.092173649595594,-87.27208736549616,79.27053599999999,52.39412178,4615.0,65809.0,384.82,0.07452202557809069,160.9271867366561
19005,Allamakee County,Iowa,IA,7045,6835,44.8,13880,49.24351585014409,43.28428239914959,-91.378053325693,79.89877408,48.85384051,1786.0,49439.0,639.08,0.12867435158501442,21.718720660950115
19007,Appanoose County,Iowa,IA,6154,6356,45.4,12510,50.80735411670664,40.7431700905196,-92.8686187703517,78.32686352,50.406389399999995,2304.0,39124.0,497.29,0.1841726618705036,25.156347402923846
19009,Audubon County,Iowa,IA,2758,2879,49.0,5637,51.073265921589496,41.684602025452975,-94.90581787645112,80.53642112,44.72446778,616.0,49560.0,442.96,0.10927798474365798,12.725754018421528
19013,Black Hawk County,Iowa,IA,65309,67700,34.9,133009,50.898811358629864,42.47009068616707,-92.30882457369528,79.42023437,49.807688899999995,20556.0,50887.0,565.77,0.15454593298197866,235.09376601799318
19017,Bremer County,Iowa,IA,12274,12508,39.7,24782,50.47211685901058,42.77458652030272,-92.3180539317849,82.14028343,41.78279488,1557.0,65733.0,435.48,0.06282785892986845,56.9073206576651
19021,Buena Vista County,Iowa,IA,10238,10022,35.2,20260,49.46692991115498,42.73549598809982,-95.15113459975643,80.87749186,44.32286751,2338.0,52344.0,574.92,0.11539980256663376,35.239685521463855
19033,Cerro Gordo County,Iowa,IA,20850,22134,44.5,42984,51.49357900614182,43.08155752775132,-93.26081363601429,79.23473055,49.40073781,4907.0,53109.0,568.31,0.11415875674669644,75.6347767943552
19043,Clayton County,Iowa,IA,8900,8772,47.1,17672,49.637845178813954,42.844720168206074,-91.3414292275032,80.50395658,45.87295808,1709.0,53809.0,778.54,0.09670665459483929,22.698897937164435
19057,Des Moines County,Iowa,IA,19313,20287,42.6,39600,51.229797979797965,40.92317786385232,-91.18147573534729,79.15250409,49.7441779,6300.0,48991.0,416.12,0.1590909090909091,95.16485629145438
19061,Dubuque County,Iowa,IA,47744,49058,38.5,96802,50.67870498543419,42.46882113653326,-90.88245688962141,80.02523811,49.61194725,9738.0,59403.0,608.31,0.10059709510134088,159.13267906166266
19077,Guthrie County,Iowa,IA,5335,5339,45.6,10674,50.01873711823122,41.683746110470366,-94.50106211564243,80.07380743,47.5652374,1036.0,55531.0,590.62,0.09705827243769909,18.072533947377334
19093,Ida County,Iowa,IA,3457,3459,44.5,6916,50.01445922498554,42.386898436170405,-95.5134974299888,79.514907,48.36291426,696.0,53300.0,431.51,0.1006362058993638,16.02743852981391
19107,Keokuk County,Iowa,IA,5202,4998,43.9,10200,49.0,41.33645750324779,-92.17863866653911,80.46159627,44.59671315,1199.0,49898.0,579.18,0.11754901960784314,17.611105355847926
19109,Kossuth County,Iowa,IA,7547,7528,45.5,15075,49.936981757877284,43.20419580509119,-94.20671661025328,81.38116492,42.86132859,1696.0,55129.0,972.72,0.11250414593698176,15.497779422649888
19123,Mahaska County,Iowa,IA,11252,10956,39.7,22208,49.33357348703171,41.33521489341655,-92.64091015653412,80.12277605,46.58150111,2640.0,51839.0,570.86,0.11887608069164265,38.90270819465368
19133,Monona County,Iowa,IA,4283,4513,46.5,8796,51.307412460209186,42.051642629809066,-95.95990054023731,77.79974615,51.92619948,1111.0,47371.0,694.07,0.12630741246020918,12.673073321134755
19139,Muscatine County,Iowa,IA,21476,21474,38.1,42950,49.9976717112922,41.48392136061979,-91.11270702657451,78.95599643,51.94194708,4540.0,57583.0,437.47,0.10570430733410943,98.17816078816833
19141,O'Brien County,Iowa,IA,6962,6949,42.4,13911,49.95327438717562,43.08375704082128,-95.62491378713388,80.26457146,46.46028538,1381.0,50607.0,573.04,0.09927395586226727,24.275792265810416
19147,Palo Alto County,Iowa,IA,4512,4543,41.8,9055,50.171176145775824,43.08208883284721,-94.6781319209072,79.51713909,47.95718645,899.0,50642.0,563.84,0.0992821645499724,16.059520431328036
19155,Pottawattamie County,Iowa,IA,45923,47580,39.5,93503,50.886067826700746,41.336622830927375,-95.54229497238848,77.86226212,53.3346503,9395.0,55442.0,950.28,0.10047805952750179,98.39520983289137
19157,Poweshiek County,Iowa,IA,8990,9615,40.7,18605,51.67965600644988,41.68644275248715,-92.53145279349349,79.83363825,48.66056078,1863.0,52408.0,584.93,0.10013437248051599,31.807224796129454
19159,Ringgold County,Iowa,IA,2432,2552,44.9,4984,51.20385232744783,40.73516518832041,-94.24398812347559,79.62016377,48.37054555,696.0,47638.0,535.5,0.13964686998394862,9.30718954248366
19161,Sac County,Iowa,IA,4818,5050,46.2,9868,51.175516822051065,42.38623878809418,-95.10535234292169,79.81746159,46.90388478,1124.0,54660.0,575.01,0.11390352655046615,17.161440670597035
19169,Story County,Iowa,IA,50484,46438,26.3,96922,47.91275458616207,42.03623117596426,-93.46503839186238,82.11500111,42.53434329,16340.0,55561.0,572.82,0.16858917480035493,169.2014943612304
19171,Tama County,Iowa,IA,8497,8639,42.8,17136,50.414332399626524,42.079810470354296,-92.53255420033248,79.58087420000001,48.55650245,2063.0,50468.0,721.01,0.12038982259570495,23.766660656578967
